;Chuck;X;Y;Z;Tag
1;0;0;1;0;bedrock
2;0;0;2;0;bedrock
3;0;0;3;0;deepslate
4;0;0;4;0;deepslate
5;0;0;5;0;deepslate
6;0;0;6;0;stone
7;0;0;7;0;stone
8;0;0;8;0;stone
9;0;0;9;0;granite
10;0;0;10;0;granite
11;0;0;11;0;diorite
12;0;0;12;0;diorite
13;0;0;13;0;diorite
14;0;0;14;0;stone
15;0;0;15;0;stone
16;0;0;16;0;stone
17;0;0;17;0;stone
18;0;0;18;0;stone
19;0;0;19;0;stone
20;0;0;20;0;stone
21;0;0;21;0;stone
22;0;0;22;0;stone
23;0;0;23;0;stone
24;0;0;24;0;stone
25;0;0;25;0;stone
26;0;0;26;0;stone
27;0;0;27;0;stone
28;0;0;28;0;stone
29;0;0;29;0;stone
30;0;0;30;0;stone
31;0;0;31;0;stone
32;0;0;32;0;stone
33;0;0;33;0;stone
34;0;0;34;0;diorite
35;0;0;35;0;stone
36;0;0;36;0;stone
37;0;0;37;0;stone
38;0;0;38;0;stone
39;0;0;39;0;stone
40;0;0;40;0;stone
41;0;0;41;0;stone
42;0;0;42;0;stone
43;0;0;43;0;stone
44;0;0;44;0;stone
45;0;0;45;0;stone
46;0;0;46;0;stone
47;0;0;47;0;stone
48;0;0;48;0;stone
49;0;0;49;0;stone
50;0;0;50;0;stone
51;0;0;51;0;stone
52;0;0;52;0;stone
53;0;0;53;0;stone
54;0;0;54;0;stone
55;0;0;55;0;stone
56;0;0;56;0;stone
57;0;0;57;0;stone
58;0;0;58;0;stone
59;0;0;59;0;stone
60;0;0;60;0;stone
61;0;0;61;0;dirt
62;0;0;62;0;grass_block
63;0;0;63;0;air
64;0;0;64;0;air
65;0;0;65;0;air
66;0;0;66;0;air
67;0;0;67;0;air
68;0;0;68;0;air
69;0;0;69;0;air
70;0;0;70;0;air
71;0;0;71;0;air
72;0;0;72;0;air
73;0;0;73;0;air
74;0;0;74;0;air
75;0;0;75;0;air
76;0;0;76;0;air
77;0;0;77;0;air
78;0;0;78;0;air
79;0;0;79;0;air
80;0;0;80;0;air
81;0;0;81;0;air
82;0;0;82;0;air
83;0;0;83;0;air
84;0;0;84;0;air
85;0;0;85;0;air
86;0;0;86;0;air
87;0;0;87;0;air
88;0;0;88;0;air
89;0;0;89;0;air
90;0;0;90;0;air
91;0;0;91;0;air
92;0;0;92;0;air
93;0;0;93;0;air
94;0;0;94;0;air
95;0;0;95;0;air
96;0;0;96;0;air
97;0;0;97;0;air
98;0;0;98;0;air
99;0;0;99;0;air
100;0;0;100;0;air
101;0;0;101;0;air
102;0;0;102;0;air
103;0;0;103;0;air
104;0;0;104;0;air
105;0;0;105;0;air
106;0;0;106;0;air
107;0;0;107;0;air
108;0;0;108;0;air
109;0;0;109;0;air
110;0;0;110;0;air
111;0;0;111;0;air
112;0;0;112;0;air
113;0;0;113;0;air
114;0;0;114;0;air
115;0;0;115;0;air
116;0;0;116;0;air
117;0;0;117;0;air
118;0;0;118;0;air
119;0;0;119;0;air
120;0;0;120;0;air
121;0;0;121;0;air
122;0;0;122;0;air
123;0;0;123;0;air
124;0;0;124;0;air
125;0;0;125;0;air
126;0;0;126;0;air
127;0;0;127;0;air
128;0;0;128;0;air
129;0;0;129;0;air
130;0;0;130;0;air
131;0;0;131;0;air
132;0;0;132;0;air
133;0;0;133;0;air
134;0;0;134;0;air
135;0;0;135;0;air
136;0;0;136;0;air
137;0;0;137;0;air
138;0;0;138;0;air
139;0;0;139;0;air
140;0;0;140;0;air
141;0;0;141;0;air
142;0;0;142;0;air
143;0;0;143;0;air
144;0;0;144;0;air
145;0;0;145;0;air
146;0;0;146;0;air
147;0;0;147;0;air
148;0;0;148;0;air
149;0;0;149;0;air
150;0;0;150;0;air
151;0;0;151;0;air
152;0;0;152;0;air
153;0;0;153;0;air
154;0;0;154;0;air
155;0;0;155;0;air
156;0;0;156;0;air
157;0;0;157;0;air
158;0;0;158;0;air
159;0;0;159;0;air
160;0;0;160;0;air
161;0;0;161;0;air
162;0;0;162;0;air
163;0;0;163;0;air
164;0;0;164;0;air
165;0;0;165;0;air
166;0;0;166;0;air
167;0;0;167;0;air
168;0;0;168;0;air
169;0;0;169;0;air
170;0;0;170;0;air
171;0;0;171;0;air
172;0;0;172;0;air
173;0;0;173;0;air
174;0;0;174;0;air
175;0;0;175;0;air
176;0;0;176;0;air
177;0;0;177;0;air
178;0;0;178;0;air
179;0;0;179;0;air
180;0;0;180;0;air
181;0;0;181;0;air
182;0;0;182;0;air
183;0;0;183;0;air
184;0;0;184;0;air
185;0;0;185;0;air
186;0;0;186;0;air
187;0;0;187;0;air
188;0;0;188;0;air
189;0;0;189;0;air
190;0;0;190;0;air
191;0;0;191;0;air
192;0;0;192;0;air
193;0;0;193;0;air
194;0;0;194;0;air
195;0;0;195;0;air
196;0;0;196;0;air
197;0;0;197;0;air
198;0;0;198;0;air
199;0;0;199;0;air
200;0;0;200;0;air
201;0;0;201;0;air
202;0;0;202;0;air
203;0;0;203;0;air
204;0;0;204;0;air
205;0;0;205;0;air
206;0;0;206;0;air
207;0;0;207;0;air
208;0;0;208;0;air
209;0;0;209;0;air
210;0;0;210;0;air
211;0;0;211;0;air
212;0;0;212;0;air
213;0;0;213;0;air
214;0;0;214;0;air
215;0;0;215;0;air
216;0;0;216;0;air
217;0;0;217;0;air
218;0;0;218;0;air
219;0;0;219;0;air
220;0;0;220;0;air
221;0;0;221;0;air
222;0;0;222;0;air
223;0;0;223;0;air
224;0;0;224;0;air
225;0;0;0;1;bedrock
226;0;0;1;1;bedrock
227;0;0;2;1;bedrock
228;0;0;3;1;deepslate
229;0;0;4;1;deepslate
230;0;0;5;1;deepslate
231;0;0;6;1;stone
232;0;0;7;1;stone
233;0;0;8;1;stone
234;0;0;9;1;granite
235;0;0;10;1;granite
236;0;0;11;1;diorite
237;0;0;12;1;diorite
238;0;0;13;1;diorite
239;0;0;14;1;stone
240;0;0;15;1;stone
241;0;0;16;1;stone
242;0;0;17;1;stone
243;0;0;18;1;stone
244;0;0;19;1;stone
245;0;0;20;1;stone
246;0;0;21;1;stone
247;0;0;22;1;stone
248;0;0;23;1;stone
249;0;0;24;1;stone
250;0;0;25;1;stone
251;0;0;26;1;stone
252;0;0;27;1;stone
253;0;0;28;1;stone
254;0;0;29;1;stone
255;0;0;30;1;stone
256;0;0;31;1;stone
257;0;0;32;1;stone
258;0;0;33;1;iron_ore
259;0;0;34;1;iron_ore
260;0;0;35;1;stone
261;0;0;36;1;stone
262;0;0;37;1;stone
263;0;0;38;1;stone
264;0;0;39;1;stone
265;0;0;40;1;stone
266;0;0;41;1;stone
267;0;0;42;1;stone
268;0;0;43;1;stone
269;0;0;44;1;stone
270;0;0;45;1;stone
271;0;0;46;1;stone
272;0;0;47;1;stone
273;0;0;48;1;stone
274;0;0;49;1;stone
275;0;0;50;1;stone
276;0;0;51;1;stone
277;0;0;52;1;stone
278;0;0;53;1;stone
279;0;0;54;1;stone
280;0;0;55;1;stone
281;0;0;56;1;stone
282;0;0;57;1;stone
283;0;0;58;1;stone
284;0;0;59;1;stone
285;0;0;60;1;dirt
286;0;0;61;1;dirt
287;0;0;62;1;water
288;0;0;63;1;air
289;0;0;64;1;air
290;0;0;65;1;air
291;0;0;66;1;air
292;0;0;67;1;air
293;0;0;68;1;air
294;0;0;69;1;air
295;0;0;70;1;air
296;0;0;71;1;air
297;0;0;72;1;air
298;0;0;73;1;air
299;0;0;74;1;air
300;0;0;75;1;air
301;0;0;76;1;air
302;0;0;77;1;air
303;0;0;78;1;air
304;0;0;79;1;air
305;0;0;80;1;air
306;0;0;81;1;air
307;0;0;82;1;air
308;0;0;83;1;air
309;0;0;84;1;air
310;0;0;85;1;air
311;0;0;86;1;air
312;0;0;87;1;air
313;0;0;88;1;air
314;0;0;89;1;air
315;0;0;90;1;air
316;0;0;91;1;air
317;0;0;92;1;air
318;0;0;93;1;air
319;0;0;94;1;air
320;0;0;95;1;air
321;0;0;96;1;air
322;0;0;97;1;air
323;0;0;98;1;air
324;0;0;99;1;air
325;0;0;100;1;air
326;0;0;101;1;air
327;0;0;102;1;air
328;0;0;103;1;air
329;0;0;104;1;air
330;0;0;105;1;air
331;0;0;106;1;air
332;0;0;107;1;air
333;0;0;108;1;air
334;0;0;109;1;air
335;0;0;110;1;air
336;0;0;111;1;air
337;0;0;112;1;air
338;0;0;113;1;air
339;0;0;114;1;air
340;0;0;115;1;air
341;0;0;116;1;air
342;0;0;117;1;air
343;0;0;118;1;air
344;0;0;119;1;air
345;0;0;120;1;air
346;0;0;121;1;air
347;0;0;122;1;air
348;0;0;123;1;air
349;0;0;124;1;air
350;0;0;125;1;air
351;0;0;126;1;air
352;0;0;127;1;air
353;0;0;128;1;air
354;0;0;129;1;air
355;0;0;130;1;air
356;0;0;131;1;air
357;0;0;132;1;air
358;0;0;133;1;air
359;0;0;134;1;air
360;0;0;135;1;air
361;0;0;136;1;air
362;0;0;137;1;air
363;0;0;138;1;air
364;0;0;139;1;air
365;0;0;140;1;air
366;0;0;141;1;air
367;0;0;142;1;air
368;0;0;143;1;air
369;0;0;144;1;air
370;0;0;145;1;air
371;0;0;146;1;air
372;0;0;147;1;air
373;0;0;148;1;air
374;0;0;149;1;air
375;0;0;150;1;air
376;0;0;151;1;air
377;0;0;152;1;air
378;0;0;153;1;air
379;0;0;154;1;air
380;0;0;155;1;air
381;0;0;156;1;air
382;0;0;157;1;air
383;0;0;158;1;air
384;0;0;159;1;air
385;0;0;160;1;air
386;0;0;161;1;air
387;0;0;162;1;air
388;0;0;163;1;air
389;0;0;164;1;air
390;0;0;165;1;air
391;0;0;166;1;air
392;0;0;167;1;air
393;0;0;168;1;air
394;0;0;169;1;air
395;0;0;170;1;air
396;0;0;171;1;air
397;0;0;172;1;air
398;0;0;173;1;air
399;0;0;174;1;air
400;0;0;175;1;air
401;0;0;176;1;air
402;0;0;177;1;air
403;0;0;178;1;air
404;0;0;179;1;air
405;0;0;180;1;air
406;0;0;181;1;air
407;0;0;182;1;air
408;0;0;183;1;air
409;0;0;184;1;air
410;0;0;185;1;air
411;0;0;186;1;air
412;0;0;187;1;air
413;0;0;188;1;air
414;0;0;189;1;air
415;0;0;190;1;air
416;0;0;191;1;air
417;0;0;192;1;air
418;0;0;193;1;air
419;0;0;194;1;air
420;0;0;195;1;air
421;0;0;196;1;air
422;0;0;197;1;air
423;0;0;198;1;air
424;0;0;199;1;air
425;0;0;200;1;air
426;0;0;201;1;air
427;0;0;202;1;air
428;0;0;203;1;air
429;0;0;204;1;air
430;0;0;205;1;air
431;0;0;206;1;air
432;0;0;207;1;air
433;0;0;208;1;air
434;0;0;209;1;air
435;0;0;210;1;air
436;0;0;211;1;air
437;0;0;212;1;air
438;0;0;213;1;air
439;0;0;214;1;air
440;0;0;215;1;air
441;0;0;216;1;air
442;0;0;217;1;air
443;0;0;218;1;air
444;0;0;219;1;air
445;0;0;220;1;air
446;0;0;221;1;air
447;0;0;222;1;air
448;0;0;223;1;air
449;0;0;224;1;air
450;0;0;0;2;bedrock
451;0;0;1;2;bedrock
452;0;0;2;2;deepslate
453;0;0;3;2;bedrock
454;0;0;4;2;deepslate
455;0;0;5;2;deepslate
456;0;0;6;2;stone
457;0;0;7;2;stone
458;0;0;8;2;stone
459;0;0;9;2;stone
460;0;0;10;2;diorite
461;0;0;11;2;diorite
462;0;0;12;2;diorite
463;0;0;13;2;diorite
464;0;0;14;2;stone
465;0;0;15;2;stone
466;0;0;16;2;stone
467;0;0;17;2;diorite
468;0;0;18;2;diorite
469;0;0;19;2;diorite
470;0;0;20;2;stone
471;0;0;21;2;stone
472;0;0;22;2;stone
473;0;0;23;2;stone
474;0;0;24;2;stone
475;0;0;25;2;stone
476;0;0;26;2;stone
477;0;0;27;2;stone
478;0;0;28;2;stone
479;0;0;29;2;stone
480;0;0;30;2;stone
481;0;0;31;2;stone
482;0;0;32;2;stone
483;0;0;33;2;iron_ore
484;0;0;34;2;iron_ore
485;0;0;35;2;stone
486;0;0;36;2;stone
487;0;0;37;2;stone
488;0;0;38;2;stone
489;0;0;39;2;stone
490;0;0;40;2;stone
491;0;0;41;2;stone
492;0;0;42;2;stone
493;0;0;43;2;stone
494;0;0;44;2;stone
495;0;0;45;2;stone
496;0;0;46;2;stone
497;0;0;47;2;stone
498;0;0;48;2;stone
499;0;0;49;2;stone
500;0;0;50;2;stone
501;0;0;51;2;coal_ore
502;0;0;52;2;stone
503;0;0;53;2;stone
504;0;0;54;2;stone
505;0;0;55;2;stone
506;0;0;56;2;stone
507;0;0;57;2;stone
508;0;0;58;2;stone
509;0;0;59;2;dirt
510;0;0;60;2;dirt
511;0;0;61;2;water
512;0;0;62;2;water
513;0;0;63;2;air
514;0;0;64;2;air
515;0;0;65;2;air
516;0;0;66;2;air
517;0;0;67;2;air
518;0;0;68;2;air
519;0;0;69;2;air
520;0;0;70;2;air
521;0;0;71;2;air
522;0;0;72;2;air
523;0;0;73;2;air
524;0;0;74;2;air
525;0;0;75;2;air
526;0;0;76;2;air
527;0;0;77;2;air
528;0;0;78;2;air
529;0;0;79;2;air
530;0;0;80;2;air
531;0;0;81;2;air
532;0;0;82;2;air
533;0;0;83;2;air
534;0;0;84;2;air
535;0;0;85;2;air
536;0;0;86;2;air
537;0;0;87;2;air
538;0;0;88;2;air
539;0;0;89;2;air
540;0;0;90;2;air
541;0;0;91;2;air
542;0;0;92;2;air
543;0;0;93;2;air
544;0;0;94;2;air
545;0;0;95;2;air
546;0;0;96;2;air
547;0;0;97;2;air
548;0;0;98;2;air
549;0;0;99;2;air
550;0;0;100;2;air
551;0;0;101;2;air
552;0;0;102;2;air
553;0;0;103;2;air
554;0;0;104;2;air
555;0;0;105;2;air
556;0;0;106;2;air
557;0;0;107;2;air
558;0;0;108;2;air
559;0;0;109;2;air
560;0;0;110;2;air
561;0;0;111;2;air
562;0;0;112;2;air
563;0;0;113;2;air
564;0;0;114;2;air
565;0;0;115;2;air
566;0;0;116;2;air
567;0;0;117;2;air
568;0;0;118;2;air
569;0;0;119;2;air
570;0;0;120;2;air
571;0;0;121;2;air
572;0;0;122;2;air
573;0;0;123;2;air
574;0;0;124;2;air
575;0;0;125;2;air
576;0;0;126;2;air
577;0;0;127;2;air
578;0;0;128;2;air
579;0;0;129;2;air
580;0;0;130;2;air
581;0;0;131;2;air
582;0;0;132;2;air
583;0;0;133;2;air
584;0;0;134;2;air
585;0;0;135;2;air
586;0;0;136;2;air
587;0;0;137;2;air
588;0;0;138;2;air
589;0;0;139;2;air
590;0;0;140;2;air
591;0;0;141;2;air
592;0;0;142;2;air
593;0;0;143;2;air
594;0;0;144;2;air
595;0;0;145;2;air
596;0;0;146;2;air
597;0;0;147;2;air
598;0;0;148;2;air
599;0;0;149;2;air
600;0;0;150;2;air
601;0;0;151;2;air
602;0;0;152;2;air
603;0;0;153;2;air
604;0;0;154;2;air
605;0;0;155;2;air
606;0;0;156;2;air
607;0;0;157;2;air
608;0;0;158;2;air
609;0;0;159;2;air
610;0;0;160;2;air
611;0;0;161;2;air
612;0;0;162;2;air
613;0;0;163;2;air
614;0;0;164;2;air
615;0;0;165;2;air
616;0;0;166;2;air
617;0;0;167;2;air
618;0;0;168;2;air
619;0;0;169;2;air
620;0;0;170;2;air
621;0;0;171;2;air
622;0;0;172;2;air
623;0;0;173;2;air
624;0;0;174;2;air
625;0;0;175;2;air
626;0;0;176;2;air
627;0;0;177;2;air
628;0;0;178;2;air
629;0;0;179;2;air
630;0;0;180;2;air
631;0;0;181;2;air
632;0;0;182;2;air
633;0;0;183;2;air
634;0;0;184;2;air
635;0;0;185;2;air
636;0;0;186;2;air
637;0;0;187;2;air
638;0;0;188;2;air
639;0;0;189;2;air
640;0;0;190;2;air
641;0;0;191;2;air
642;0;0;192;2;air
643;0;0;193;2;air
644;0;0;194;2;air
645;0;0;195;2;air
646;0;0;196;2;air
647;0;0;197;2;air
648;0;0;198;2;air
649;0;0;199;2;air
650;0;0;200;2;air
651;0;0;201;2;air
652;0;0;202;2;air
