,Random,Environment_Size,Dirt_Rate,Time,Dirt_Cleaned,Dirt_Remaining
0,No,2x2,0.1,0,0,0
1,No,2x2,0.1,0,0,0
2,No,2x2,0.1,0,0,0
3,No,2x2,0.1,0,0,0
4,No,2x2,0.1,0,0,0
5,No,2x2,0.1,0,0,0
6,No,2x2,0.1,0,0,0
7,No,2x2,0.1,0,0,0
8,No,2x2,0.1,0,0,0
9,No,2x2,0.1,0,0,0
10,No,2x2,0.2,0,0,0
11,No,2x2,0.2,0,0,0
12,No,2x2,0.2,0,0,0
13,No,2x2,0.2,0,0,0
14,No,2x2,0.2,0,0,0
15,No,2x2,0.2,0,0,0
16,No,2x2,0.2,0,0,0
17,No,2x2,0.2,0,0,0
18,No,2x2,0.2,0,0,0
19,No,2x2,0.2,0,0,0
20,No,2x2,0.4,2,1,0
21,No,2x2,0.4,1,1,0
22,No,2x2,0.4,6,1,0
23,No,2x2,0.4,4,1,0
24,No,2x2,0.4,4,1,0
25,No,2x2,0.4,1,1,0
26,No,2x2,0.4,2,1,0
27,No,2x2,0.4,4,1,0
28,No,2x2,0.4,3,1,0
29,No,2x2,0.4,1,1,0
30,No,2x2,0.8,6,3,0
31,No,2x2,0.8,15,3,0
32,No,2x2,0.8,5,3,0
33,No,2x2,0.8,13,3,0
34,No,2x2,0.8,15,3,0
35,No,2x2,0.8,6,3,0
36,No,2x2,0.8,10,3,0
37,No,2x2,0.8,13,3,0
38,No,2x2,0.8,7,3,0
39,No,2x2,0.8,5,3,0
40,No,4x4,0.1,9,1,0
41,No,4x4,0.1,29,1,0
42,No,4x4,0.1,87,1,0
43,No,4x4,0.1,31,1,0
44,No,4x4,0.1,1,1,0
45,No,4x4,0.1,33,1,0
46,No,4x4,0.1,45,1,0
47,No,4x4,0.1,1,1,0
48,No,4x4,0.1,31,1,0
49,No,4x4,0.1,59,1,0
50,No,4x4,0.2,21,3,0
51,No,4x4,0.2,72,3,0
52,No,4x4,0.2,25,3,0
53,No,4x4,0.2,35,3,0
54,No,4x4,0.2,22,3,0
55,No,4x4,0.2,75,3,0
56,No,4x4,0.2,26,3,0
57,No,4x4,0.2,95,3,0
58,No,4x4,0.2,50,3,0
59,No,4x4,0.2,43,3,0
60,No,4x4,0.4,60,6,0
61,No,4x4,0.4,50,6,0
62,No,4x4,0.4,59,6,0
63,No,4x4,0.4,53,6,0
64,No,4x4,0.4,99,6,0
65,No,4x4,0.4,45,6,0
66,No,4x4,0.4,110,6,0
67,No,4x4,0.4,43,6,0
68,No,4x4,0.4,26,6,0
69,No,4x4,0.4,62,6,0
70,No,4x4,0.8,186,12,0
