,Solution_was_found,Algorithm,Obstacles_rate,Solution_Lenght,Amount_of_explored_states
0,Yes,BFS,0.1,25,1007
1,Yes,BFS,0.1,89,6983
2,Yes,BFS,0.1,45,3082
3,Yes,BFS,0.1,104,7270
4,Yes,BFS,0.1,22,673
5,Yes,BFS,0.1,15,334
6,Yes,BFS,0.1,90,5596
7,Yes,BFS,0.1,57,2836
8,Yes,BFS,0.1,33,1360
9,Yes,BFS,0.1,37,2283
10,Yes,BFS,0.1,51,2399
11,Yes,BFS,0.1,20,596
12,Yes,BFS,0.1,67,3033
13,Yes,BFS,0.1,43,3148
14,Yes,BFS,0.1,61,3837
15,Yes,BFS,0.1,58,4488
16,Yes,BFS,0.1,98,7935
17,Yes,BFS,0.1,28,661
18,Yes,BFS,0.1,27,879
19,Yes,BFS,0.1,45,3089
20,Yes,BFS,0.1,61,3706
21,Yes,BFS,0.1,105,8081
22,Yes,BFS,0.1,40,2611
23,Yes,BFS,0.1,47,3592
24,Yes,BFS,0.1,68,2797
25,Yes,BFS,0.1,105,6652
26,Yes,BFS,0.1,14,294
27,Yes,BFS,0.1,38,1576
28,Yes,BFS,0.1,41,1887
29,Yes,BFS,0.1,46,2652
30,Yes,DFS,0.1,57,8917
31,Yes,DFS,0.1,821,5292
32,Yes,DFS,0.1,2708,3433
33,Yes,DFS,0.1,2453,5287
34,Yes,DFS,0.1,906,7530
35,Yes,DFS,0.1,571,2192
36,Yes,DFS,0.1,952,6876
37,Yes,DFS,0.1,1158,3333
38,Yes,DFS,0.1,513,3918
39,Yes,DFS,0.1,1268,5960
40,Yes,DFS,0.1,582,1164
41,Yes,DFS,0.1,167,8237
42,Yes,DFS,0.1,958,4953
43,Yes,DFS,0.1,536,2470
44,Yes,DFS,0.1,1893,3933
45,Yes,DFS,0.1,23,8956
46,Yes,DFS,0.1,210,8681
47,Yes,DFS,0.1,487,2157
48,Yes,DFS,0.1,446,8008
49,Yes,DFS,0.1,255,2737
50,Yes,DFS,0.1,2812,4183
51,Yes,DFS,0.1,656,7055
52,Yes,DFS,0.1,1949,5260
53,Yes,DFS,0.1,336,4884
54,Yes,DFS,0.1,1470,6922
55,Yes,DFS,0.1,1057,2447
56,Yes,DFS,0.1,2383,4798
57,Yes,DFS,0.1,436,582
58,Yes,DFS,0.1,430,8400
59,Yes,DFS,0.1,1248,5685
60,Yes,UniformCost,0.1,97,7976
61,Yes,UniformCost,0.1,98,6256
62,Yes,UniformCost,0.1,48,3389
63,Yes,UniformCost,0.1,69,3804
64,Yes,UniformCost,0.1,13,231
65,Yes,UniformCost,0.1,79,6017
66,Yes,UniformCost,0.1,49,4058
67,Yes,UniformCost,0.1,47,2775
68,Yes,UniformCost,0.1,86,7518
69,Yes,UniformCost,0.1,91,7774
70,Yes,UniformCost,0.1,7,71
71,Yes,UniformCost,0.1,26,1084
72,Yes,UniformCost,0.1,61,6142
73,Yes,UniformCost,0.1,54,4125
74,Yes,UniformCost,0.1,111,8732
75,Yes,UniformCost,0.1,74,6632
76,Yes,UniformCost,0.1,81,5146
77,Yes,UniformCost,0.1,82,3847
78,Yes,UniformCost,0.1,58,4325
79,Yes,UniformCost,0.1,65,5806
80,Yes,UniformCost,0.1,122,7157
81,Yes,UniformCost,0.1,42,2936
82,Yes,UniformCost,0.1,70,3817
83,Yes,UniformCost,0.1,88,5877
84,Yes,UniformCost,0.1,24,390
85,Yes,UniformCost,0.1,116,7935
86,Yes,UniformCost,0.1,27,1160
87,Yes,UniformCost,0.1,37,2243
88,Yes,UniformCost,0.1,19,554
89,Yes,UniformCost,0.1,66,5528
