,Solution_was_found,Algorithm,Obstacles_rate,Solution_Lenght,Amount_of_explored_states
0,Yes,BFS,0.1,56,4398
1,Yes,DFS,0.1,472,3401
2,Yes,UniformCost,0.1,56,4398
3,Yes,BFS,0.1,45,3272
4,Yes,DFS,0.1,327,2673
5,Yes,UniformCost,0.1,45,3272
6,Yes,BFS,0.1,31,781
7,Yes,DFS,0.1,559,8079
8,Yes,UniformCost,0.1,31,781
9,Yes,BFS,0.1,69,6170
10,Yes,DFS,0.1,575,8146
11,Yes,UniformCost,0.1,69,6170
12,Yes,BFS,0.1,33,1125
13,Yes,DFS,0.1,465,8277
14,Yes,UniformCost,0.1,33,1125
15,Yes,BFS,0.1,81,6600
16,Yes,DFS,0.1,305,304
17,Yes,UniformCost,0.1,81,6600
18,Yes,BFS,0.1,62,3810
19,Yes,DFS,0.1,1710,6427
20,Yes,UniformCost,0.1,62,3810
21,Yes,BFS,0.1,31,1501
22,Yes,DFS,0.1,1145,7228
23,Yes,UniformCost,0.1,31,1501
24,Yes,BFS,0.1,70,4777
25,Yes,DFS,0.1,468,6779
26,Yes,UniformCost,0.1,70,4777
27,Yes,BFS,0.1,43,2293
28,Yes,DFS,0.1,433,4832
29,Yes,UniformCost,0.1,43,2293
30,Yes,BFS,0.1,111,8645
31,Yes,DFS,0.1,1179,3064
32,Yes,UniformCost,0.1,111,8645
33,Yes,BFS,0.1,66,5315
34,Yes,DFS,0.1,1488,6561
35,Yes,UniformCost,0.1,66,5315
36,Yes,BFS,0.1,100,6318
37,Yes,DFS,0.1,1044,1684
38,Yes,UniformCost,0.1,100,6318
39,Yes,BFS,0.1,25,1029
40,Yes,DFS,0.1,773,7112
41,Yes,UniformCost,0.1,25,1029
42,Yes,BFS,0.1,82,3793
43,Yes,DFS,0.1,390,7048
44,Yes,UniformCost,0.1,82,3793
45,Yes,BFS,0.1,68,4113
46,Yes,DFS,0.1,1062,7448
47,Yes,UniformCost,0.1,68,4113
48,Yes,BFS,0.1,42,2075
49,Yes,DFS,0.1,1104,1480
50,Yes,UniformCost,0.1,42,2075
51,Yes,BFS,0.1,45,3388
52,Yes,DFS,0.1,397,1814
53,Yes,UniformCost,0.1,45,3388
54,Yes,BFS,0.1,43,2056
55,Yes,DFS,0.1,635,743
56,Yes,UniformCost,0.1,43,2056
57,Yes,BFS,0.1,49,1776
58,Yes,DFS,0.1,171,8758
59,Yes,UniformCost,0.1,49,1776
60,Yes,BFS,0.1,70,2696
61,Yes,DFS,0.1,194,198
62,Yes,UniformCost,0.1,70,2696
63,Yes,BFS,0.1,80,6531
64,Yes,DFS,0.1,1216,2661
65,Yes,UniformCost,0.1,80,6531
66,Yes,BFS,0.1,50,2330
67,Yes,DFS,0.1,1436,1646
68,Yes,UniformCost,0.1,50,2330
69,Yes,BFS,0.1,76,5243
70,Yes,DFS,0.1,916,1982
71,Yes,UniformCost,0.1,76,5243
72,Yes,BFS,0.1,45,2825
73,Yes,DFS,0.1,653,827
74,Yes,UniformCost,0.1,45,2825
75,Yes,BFS,0.1,77,4661
76,Yes,DFS,0.1,2175,3932
77,Yes,UniformCost,0.1,77,4661
78,Yes,BFS,0.1,79,5614
79,Yes,DFS,0.1,459,8229
80,Yes,UniformCost,0.1,79,5614
81,Yes,BFS,0.1,64,5535
82,Yes,DFS,0.1,1170,2557
83,Yes,UniformCost,0.1,64,5535
84,Yes,BFS,0.1,122,7763
85,Yes,DFS,0.1,2274,5675
86,Yes,UniformCost,0.1,122,7763
87,Yes,BFS,0.1,113,7698
88,Yes,DFS,0.1,1215,1680
89,Yes,UniformCost,0.1,113,7698
