,Solution_was_found,Algorithm,Obstacles_rate,Solution_Lenght,Amount_of_explored_states
0,Yes,BFS,0.1,25,1028
1,Yes,DFS,0.1,601,8090
2,Yes,DFSLimited,0.1,63,1005
3,Yes,UniformCost,0.1,25,1028
4,Yes,AEstrella,0.1,25,312
5,Yes,BFS,0.1,88,7328
6,Yes,DFS,0.1,1332,6968
7,No,DFSLimited,0.1,0,757
8,Yes,UniformCost,0.1,88,7328
9,Yes,AEstrella,0.1,88,4057
10,Yes,BFS,0.1,107,7183
11,Yes,DFS,0.1,993,7288
12,No,DFSLimited,0.1,0,989
13,Yes,UniformCost,0.1,107,7183
14,Yes,AEstrella,0.1,107,4141
15,Yes,BFS,0.1,134,8621
16,Yes,DFS,0.1,1214,1600
17,No,DFSLimited,0.1,0,1075
18,Yes,UniformCost,0.1,134,8621
19,Yes,AEstrella,0.1,134,7290
20,Yes,BFS,0.1,62,2080
21,Yes,DFS,0.1,1206,1738
22,No,DFSLimited,0.1,0,775
23,Yes,UniformCost,0.1,62,2080
24,Yes,AEstrella,0.1,62,1256
25,Yes,BFS,0.1,114,7791
26,Yes,DFS,0.1,1652,5852
27,No,DFSLimited,0.1,0,1857
28,Yes,UniformCost,0.1,114,7791
29,Yes,AEstrella,0.1,114,5468
30,Yes,BFS,0.1,84,3663
31,Yes,DFS,0.1,424,8142
32,No,DFSLimited,0.1,0,1381
33,Yes,UniformCost,0.1,84,3663
34,Yes,AEstrella,0.1,84,1958
35,Yes,BFS,0.1,105,7274
36,Yes,DFS,0.1,865,2427
37,No,DFSLimited,0.1,0,1296
38,Yes,UniformCost,0.1,105,7274
39,Yes,AEstrella,0.1,105,4603
40,Yes,BFS,0.1,72,5064
41,Yes,DFS,0.1,1664,6393
42,No,DFSLimited,0.1,0,2549
43,Yes,UniformCost,0.1,72,5064
44,Yes,AEstrella,0.1,72,2582
45,Yes,BFS,0.1,50,3540
46,Yes,DFS,0.1,518,4509
47,No,DFSLimited,0.1,0,1176
48,Yes,UniformCost,0.1,50,3540
49,Yes,AEstrella,0.1,50,1373
50,Yes,BFS,0.1,88,5765
51,Yes,DFS,0.1,922,7760
52,No,DFSLimited,0.1,0,1302
53,Yes,UniformCost,0.1,88,5765
54,Yes,AEstrella,0.1,88,3396
55,Yes,BFS,0.1,90,7241
56,Yes,DFS,0.1,1276,1823
57,No,DFSLimited,0.1,0,1655
58,Yes,UniformCost,0.1,90,7241
59,Yes,AEstrella,0.1,92,4253
60,Yes,BFS,0.1,46,1939
61,Yes,DFS,0.1,1708,3104
62,No,DFSLimited,0.1,0,1210
63,Yes,UniformCost,0.1,46,1939
64,Yes,AEstrella,0.1,46,969
65,Yes,BFS,0.1,51,4332
66,Yes,DFS,0.1,455,2413
67,Yes,DFSLimited,0.1,67,1645
68,Yes,UniformCost,0.1,51,4332
69,Yes,AEstrella,0.1,51,1387
70,Yes,BFS,0.1,61,5039
71,Yes,DFS,0.1,1149,7247
72,No,DFSLimited,0.1,0,1777
73,Yes,UniformCost,0.1,61,5039
74,Yes,AEstrella,0.1,61,2144
75,Yes,BFS,0.1,67,3565
76,Yes,DFS,0.1,1541,2559
77,No,DFSLimited,0.1,0,1476
78,Yes,UniformCost,0.1,67,3565
79,Yes,AEstrella,0.1,67,1977
80,Yes,BFS,0.1,104,7178
81,Yes,DFS,0.1,812,1171
82,No,DFSLimited,0.1,0,1321
83,Yes,UniformCost,0.1,104,7178
84,Yes,AEstrella,0.1,104,4322
85,Yes,BFS,0.1,59,5027
86,Yes,DFS,0.1,245,3508
87,Yes,DFSLimited,0.1,67,1058
88,Yes,UniformCost,0.1,59,5027
89,Yes,AEstrella,0.1,59,1978
90,Yes,BFS,0.1,109,6730
91,Yes,DFS,0.1,627,5248
92,No,DFSLimited,0.1,0,777
93,Yes,UniformCost,0.1,109,6730
94,Yes,AEstrella,0.1,109,4011
95,Yes,BFS,0.1,42,2887
96,Yes,DFS,0.1,1440,4854
97,No,DFSLimited,0.1,0,1334
98,Yes,UniformCost,0.1,42,2887
99,Yes,AEstrella,0.1,42,951
100,Yes,BFS,0.1,35,1813
101,Yes,DFS,0.1,201,201
102,No,DFSLimited,0.1,0,1952
103,Yes,UniformCost,0.1,35,1813
104,Yes,AEstrella,0.1,35,685
105,Yes,BFS,0.1,100,8908
106,Yes,DFS,0.1,2502,3343
107,No,DFSLimited,0.1,0,1938
108,Yes,UniformCost,0.1,100,8908
109,Yes,AEstrella,0.1,100,5728
110,Yes,BFS,0.1,85,6245
111,Yes,DFS,0.1,691,7913
112,No,DFSLimited,0.1,0,1496
113,Yes,UniformCost,0.1,85,6245
114,Yes,AEstrella,0.1,85,3226
115,Yes,BFS,0.1,48,2130
116,Yes,DFS,0.1,450,7812
117,No,DFSLimited,0.1,0,968
118,Yes,UniformCost,0.1,48,2130
119,Yes,AEstrella,0.1,48,804
120,Yes,BFS,0.1,114,8008
121,Yes,DFS,0.1,762,2965
122,No,DFSLimited,0.1,0,1565
123,Yes,UniformCost,0.1,114,8008
124,Yes,AEstrella,0.1,114,5874
125,Yes,BFS,0.1,94,7578
126,Yes,DFS,0.1,2378,3689
127,No,DFSLimited,0.1,0,877
128,Yes,UniformCost,0.1,94,7578
129,Yes,AEstrella,0.1,94,4461
130,Yes,BFS,0.1,60,5448
131,Yes,DFS,0.1,162,4616
132,No,DFSLimited,0.1,0,1239
133,Yes,UniformCost,0.1,60,5448
134,Yes,AEstrella,0.1,60,2009
135,Yes,BFS,0.1,89,6664
136,Yes,DFS,0.1,2727,4464
137,No,DFSLimited,0.1,0,2471
138,Yes,UniformCost,0.1,89,6664
139,Yes,AEstrella,0.1,89,3802
140,Yes,BFS,0.1,91,6009
141,Yes,DFS,0.1,2757,4111
142,No,DFSLimited,0.1,0,1109
143,Yes,UniformCost,0.1,91,6009
144,Yes,AEstrella,0.1,91,3085
145,Yes,BFS,0.1,78,4749
146,Yes,DFS,0.1,1444,1861
147,No,DFSLimited,0.1,0,926
148,Yes,UniformCost,0.1,78,4749
149,Yes,AEstrella,0.1,78,2659
