,Algorithm,Size,Threatened_Queens,Amount_of_explored_states,Time
0,HILL_CLIMBING,4,2,2,0.0010058879852294922
1,SIM_ANNEALING,4,0,18,0.0
2,GENETIC,4,0,92,0.00662994384765625
3,HILL_CLIMBING,4,4,0,0.001018524169921875
4,SIM_ANNEALING,4,0,139,0.0009889602661132812
5,GENETIC,4,0,48,0.007562398910522461
6,HILL_CLIMBING,4,0,3,0.0010023117065429688
7,SIM_ANNEALING,4,0,93,0.002652883529663086
8,GENETIC,4,0,128,0.0037734508514404297
9,HILL_CLIMBING,4,2,1,0.0009996891021728516
10,SIM_ANNEALING,4,0,22,0.0010111331939697266
11,GENETIC,4,0,228,0.06345510482788086
12,HILL_CLIMBING,4,0,2,0.0010190010070800781
13,SIM_ANNEALING,4,0,42,0.0019881725311279297
14,GENETIC,4,0,48,0.0
15,HILL_CLIMBING,4,0,3,0.0
16,SIM_ANNEALING,4,0,37,0.0
17,GENETIC,4,0,28,0.0
18,HILL_CLIMBING,4,2,1,0.0
19,SIM_ANNEALING,4,0,15,0.0010192394256591797
20,GENETIC,4,0,196,0.03240489959716797
21,HILL_CLIMBING,4,2,1,0.0009946823120117188
22,SIM_ANNEALING,4,0,20,0.0009937286376953125
23,GENETIC,4,0,144,0.004739046096801758
24,HILL_CLIMBING,4,2,2,0.0006139278411865234
25,SIM_ANNEALING,4,0,24,0.0009860992431640625
26,GENETIC,4,0,112,0.008823156356811523
27,HILL_CLIMBING,4,0,3,0.0009913444519042969
28,SIM_ANNEALING,4,0,49,0.0015573501586914062
29,GENETIC,4,0,4,0.00045371055603027344
30,HILL_CLIMBING,4,0,1,0.0010178089141845703
31,SIM_ANNEALING,4,0,70,0.002547025680541992
32,GENETIC,4,0,60,0.00396275520324707
33,HILL_CLIMBING,4,2,1,0.0005295276641845703
34,SIM_ANNEALING,4,0,84,0.0030329227447509766
35,GENETIC,4,0,180,0.058660268783569336
36,HILL_CLIMBING,4,0,1,0.0009999275207519531
37,SIM_ANNEALING,4,0,39,0.0010004043579101562
38,GENETIC,4,0,4,0.0010814666748046875
39,HILL_CLIMBING,4,2,2,0.002020597457885742
40,SIM_ANNEALING,4,0,90,0.0
41,GENETIC,4,0,184,0.12567877769470215
42,HILL_CLIMBING,4,0,2,0.0010104179382324219
43,SIM_ANNEALING,4,0,8,0.0
44,GENETIC,4,0,4,0.0
45,HILL_CLIMBING,4,2,1,0.0009868144989013672
46,SIM_ANNEALING,4,0,86,0.0010094642639160156
47,GENETIC,4,0,36,0.0
48,HILL_CLIMBING,4,0,2,0.0010213851928710938
49,SIM_ANNEALING,4,0,73,0.0009887218475341797
50,GENETIC,4,0,40,0.0022077560424804688
51,HILL_CLIMBING,4,2,2,0.0009722709655761719
52,SIM_ANNEALING,4,0,17,0.0010001659393310547
53,GENETIC,4,0,112,0.005589962005615234
54,HILL_CLIMBING,4,2,1,0.0
55,SIM_ANNEALING,4,0,68,0.001645803451538086
56,GENETIC,4,0,60,0.006062746047973633
57,HILL_CLIMBING,4,2,1,0.0009999275207519531
58,SIM_ANNEALING,4,0,35,0.0010099411010742188
59,GENETIC,4,0,224,0.03233790397644043
60,HILL_CLIMBING,4,0,3,0.0010848045349121094
61,SIM_ANNEALING,4,0,19,0.0013623237609863281
62,GENETIC,4,0,304,0.08545303344726562
63,HILL_CLIMBING,4,2,2,0.000993490219116211
64,SIM_ANNEALING,4,0,139,0.0045964717864990234
65,GENETIC,4,0,72,0.005171775817871094
66,HILL_CLIMBING,4,0,2,0.0009925365447998047
67,SIM_ANNEALING,4,0,74,0.002379894256591797
68,GENETIC,4,0,136,0.010583639144897461
69,HILL_CLIMBING,4,2,2,0.0009992122650146484
70,SIM_ANNEALING,4,0,20,0.0
71,GENETIC,4,0,32,0.002916574478149414
72,HILL_CLIMBING,4,0,2,0.0010056495666503906
73,SIM_ANNEALING,4,0,49,0.0020558834075927734
74,GENETIC,4,0,108,0.006696224212646484
75,HILL_CLIMBING,4,0,3,0.0010113716125488281
76,SIM_ANNEALING,4,0,55,0.0018153190612792969
77,GENETIC,4,0,12,0.0010094642639160156
78,HILL_CLIMBING,4,2,2,0.0012621879577636719
79,SIM_ANNEALING,4,0,31,0.0007388591766357422
80,GENETIC,4,0,24,0.0021114349365234375
81,HILL_CLIMBING,4,4,0,0.0
82,SIM_ANNEALING,4,0,18,0.0009999275207519531
83,GENETIC,4,0,0,0.0
84,HILL_CLIMBING,4,2,1,0.0010111331939697266
85,SIM_ANNEALING,4,0,96,0.0010094642639160156
86,GENETIC,4,0,12,0.0
87,HILL_CLIMBING,4,2,2,0.001007080078125
88,SIM_ANNEALING,4,0,11,0.0
89,GENETIC,4,0,48,0.0009999275207519531
90,HILL_CLIMBING,8,0,5,0.06250476837158203
91,SIM_ANNEALING,8,0,304,0.13674378395080566
92,GENETIC,8,0,5344,3.945258140563965
93,HILL_CLIMBING,8,3,2,0.03391218185424805
94,SIM_ANNEALING,8,0,405,0.09023499488830566
95,GENETIC,8,0,10192,6.952131509780884
96,HILL_CLIMBING,10,2,3,0.10845327377319336
97,SIM_ANNEALING,10,2,667,0.3431894779205322
98,GENETIC,10,0,12440,15.077814102172852
99,HILL_CLIMBING,8,0,4,0.04459834098815918
100,SIM_ANNEALING,8,2,667,0.1477963924407959
101,GENETIC,8,5,16000,10.594798803329468
102,HILL_CLIMBING,8,2,3,0.039099931716918945
103,SIM_ANNEALING,8,2,667,0.15232014656066895
104,GENETIC,8,0,11448,7.639641046524048
105,HILL_CLIMBING,8,2,5,0.06601405143737793
106,SIM_ANNEALING,8,2,667,0.16204524040222168
107,GENETIC,8,0,7320,4.792266845703125
108,HILL_CLIMBING,8,2,5,0.07754135131835938
109,SIM_ANNEALING,8,2,667,0.14380908012390137
110,GENETIC,8,0,672,0.425062894821167
111,HILL_CLIMBING,8,4,2,0.03339982032775879
112,SIM_ANNEALING,8,2,667,0.15055179595947266
113,GENETIC,8,0,1440,0.9850831031799316
114,HILL_CLIMBING,8,2,4,0.04452180862426758
115,SIM_ANNEALING,8,0,192,0.04002213478088379
116,GENETIC,8,0,1208,0.8158681392669678
117,HILL_CLIMBING,8,2,4,0.047138214111328125
118,SIM_ANNEALING,8,0,511,0.11236047744750977
119,GENETIC,8,0,920,0.6009171009063721
120,HILL_CLIMBING,8,4,2,0.03417205810546875
121,SIM_ANNEALING,8,0,93,0.02635979652404785
122,GENETIC,8,0,584,0.39505457878112793
123,HILL_CLIMBING,8,3,2,0.03377079963684082
124,SIM_ANNEALING,8,0,558,0.1060791015625
125,GENETIC,8,0,184,0.12465810775756836
126,HILL_CLIMBING,10,4,3,0.10315203666687012
127,SIM_ANNEALING,10,2,667,0.2495872974395752
128,GENETIC,10,4,20000,23.804991245269775
129,HILL_CLIMBING,8,3,2,0.03330874443054199
130,SIM_ANNEALING,8,2,667,0.14987850189208984
131,GENETIC,8,0,1064,0.7076103687286377
132,HILL_CLIMBING,8,0,5,0.0702674388885498
133,SIM_ANNEALING,8,2,667,0.15056729316711426
134,GENETIC,8,0,1168,0.7560956478118896
135,HILL_CLIMBING,8,2,2,0.033368587493896484
136,SIM_ANNEALING,8,0,341,0.08707642555236816
137,GENETIC,8,0,5472,3.63962984085083
138,HILL_CLIMBING,8,2,3,0.03779911994934082
139,SIM_ANNEALING,8,2,667,0.15499639511108398
140,GENETIC,8,0,1040,0.7327311038970947
141,HILL_CLIMBING,8,2,3,0.04137372970581055
142,SIM_ANNEALING,8,3,1001,0.22663092613220215
143,GENETIC,8,0,64,0.05350518226623535
144,HILL_CLIMBING,8,2,3,0.03994441032409668
145,SIM_ANNEALING,8,2,667,0.15805482864379883
146,GENETIC,8,0,800,0.5379631519317627
147,HILL_CLIMBING,8,4,1,0.011516332626342773
148,SIM_ANNEALING,8,2,667,0.15143132209777832
149,GENETIC,8,0,3280,2.1774346828460693
150,HILL_CLIMBING,8,2,4,0.04810476303100586
151,SIM_ANNEALING,8,0,403,0.09573769569396973
152,GENETIC,8,0,224,0.15781092643737793
153,HILL_CLIMBING,8,2,4,0.06002306938171387
154,SIM_ANNEALING,8,2,667,0.14426279067993164
155,GENETIC,8,0,1024,0.6797184944152832
156,HILL_CLIMBING,8,3,4,0.06066703796386719
157,SIM_ANNEALING,8,2,667,0.15526270866394043
158,GENETIC,8,0,1408,0.9598746299743652
159,HILL_CLIMBING,8,3,3,0.036231279373168945
160,SIM_ANNEALING,8,0,337,0.07578611373901367
161,GENETIC,8,0,4072,2.801496982574463
162,HILL_CLIMBING,8,4,2,0.033525943756103516
163,SIM_ANNEALING,8,0,509,0.10377264022827148
164,GENETIC,8,0,5816,3.9058432579040527
165,HILL_CLIMBING,8,3,3,0.03960990905761719
166,SIM_ANNEALING,8,2,667,0.152374267578125
167,GENETIC,8,0,2296,1.5692007541656494
168,HILL_CLIMBING,8,2,3,0.03937339782714844
169,SIM_ANNEALING,8,2,667,0.15640902519226074
170,GENETIC,8,0,1520,1.0439417362213135
171,HILL_CLIMBING,10,4,3,0.10417461395263672
172,SIM_ANNEALING,10,2,667,0.23360300064086914
173,GENETIC,10,2,20000,23.49009108543396
174,HILL_CLIMBING,10,4,3,0.12085914611816406
175,SIM_ANNEALING,10,2,667,0.22124791145324707
176,GENETIC,10,0,1820,2.1090080738067627
177,HILL_CLIMBING,8,2,3,0.06069493293762207
178,SIM_ANNEALING,8,2,667,0.15287375450134277
179,GENETIC,8,0,8536,5.841401815414429
180,HILL_CLIMBING,8,0,5,0.061084747314453125
181,SIM_ANNEALING,8,0,91,0.010018587112426758
182,GENETIC,8,0,5688,3.8499839305877686
183,HILL_CLIMBING,8,2,3,0.03796792030334473
184,SIM_ANNEALING,8,0,61,0.005994319915771484
185,GENETIC,8,0,472,0.3563711643218994
