,Algorithm,Size,Threatened_Queens,Amount_of_explored_states,Time
0,HILL_CLIMBING,4,0,0,0.0
1,SIM_ANNEALING,4,0,1,0.0
2,GENETIC,4,2,40,0.007973909378051758
3,HILL_CLIMBING,4,2,2,0.0020003318786621094
4,SIM_ANNEALING,4,0,38,0.002209901809692383
5,GENETIC,4,3,40,0.01184844970703125
6,HILL_CLIMBING,4,4,0,0.0010023117065429688
7,SIM_ANNEALING,4,0,22,0.0
8,GENETIC,4,2,40,0.005812883377075195
9,HILL_CLIMBING,4,0,2,0.0010023117065429688
10,SIM_ANNEALING,4,0,26,0.0
11,GENETIC,4,2,40,0.009107112884521484
12,HILL_CLIMBING,4,2,1,0.0009992122650146484
13,HILL_CLIMBING,8,0,3,0.034803152084350586
14,SIM_ANNEALING,8,2,74,0.015848875045776367
15,SIM_ANNEALING,4,0,35,0.0
16,GENETIC,4,3,40,0.008073806762695312
17,GENETIC,8,5,80,0.36997509002685547
18,HILL_CLIMBING,4,2,2,0.0019996166229248047
19,SIM_ANNEALING,4,0,22,0.0
20,GENETIC,4,3,40,0.04616975784301758
21,HILL_CLIMBING,4,2,1,0.001995563507080078
22,SIM_ANNEALING,4,0,7,0.0
23,GENETIC,4,4,40,0.00458073616027832
24,HILL_CLIMBING,8,2,4,0.07509136199951172
25,SIM_ANNEALING,8,2,67,0.04232048988342285
26,HILL_CLIMBING,4,2,2,0.001619577407836914
27,SIM_ANNEALING,4,0,48,0.000997781753540039
28,GENETIC,4,2,40,0.012075185775756836
29,GENETIC,8,6,80,0.43895554542541504
30,HILL_CLIMBING,4,2,2,0.0020024776458740234
31,SIM_ANNEALING,4,0,30,0.000997304916381836
32,GENETIC,4,3,40,0.008727073669433594
33,HILL_CLIMBING,4,0,2,0.0026235580444335938
34,SIM_ANNEALING,4,2,67,0.0033605098724365234
35,GENETIC,4,2,40,0.03300118446350098
36,HILL_CLIMBING,10,2,5,0.33543896675109863
37,SIM_ANNEALING,10,2,120,0.054379940032958984
38,GENETIC,10,6,100,1.3938276767730713
39,HILL_CLIMBING,4,0,2,0.0010135173797607422
40,SIM_ANNEALING,4,0,35,0.0
41,GENETIC,4,4,40,0.010925054550170898
42,HILL_CLIMBING,8,0,3,0.16841554641723633
43,SIM_ANNEALING,8,2,70,0.012801408767700195
44,GENETIC,8,4,80,0.43701767921447754
45,HILL_CLIMBING,4,0,1,0.0019960403442382812
46,SIM_ANNEALING,4,0,33,0.0016331672668457031
47,GENETIC,4,2,40,0.0638265609741211
48,HILL_CLIMBING,4,2,1,0.001062631607055664
49,SIM_ANNEALING,4,2,67,0.003428936004638672
50,GENETIC,4,3,40,0.04320693016052246
51,HILL_CLIMBING,4,2,1,0.0015873908996582031
52,SIM_ANNEALING,4,0,16,0.0010139942169189453
53,GENETIC,4,3,40,0.007146120071411133
54,HILL_CLIMBING,4,0,0,0.000993490219116211
55,SIM_ANNEALING,4,0,1,0.0
56,GENETIC,4,4,40,0.04026603698730469
57,HILL_CLIMBING,4,0,2,0.0010018348693847656
58,SIM_ANNEALING,4,0,18,0.0
59,GENETIC,4,2,40,0.028725862503051758
60,HILL_CLIMBING,8,2,3,0.11909365653991699
61,SIM_ANNEALING,8,3,101,0.03347635269165039
62,GENETIC,8,5,80,0.5119917392730713
63,HILL_CLIMBING,4,2,2,0.001003265380859375
64,SIM_ANNEALING,4,0,27,0.0
65,GENETIC,4,2,40,0.007534980773925781
66,HILL_CLIMBING,4,0,2,0.0010232925415039062
67,SIM_ANNEALING,4,2,67,0.003879070281982422
68,GENETIC,4,4,40,0.06408286094665527
69,HILL_CLIMBING,4,0,2,0.0009942054748535156
70,SIM_ANNEALING,4,0,16,0.000995635986328125
71,GENETIC,4,4,40,0.007271528244018555
72,HILL_CLIMBING,4,2,1,0.0010118484497070312
