,Algorithm,Size,State,It,Value
0,GENETIC,10,BestState,1,8
1,GENETIC,10,WorstState,1,10
2,GENETIC,10,BestState,2,6
3,GENETIC,10,WorstState,2,10
4,GENETIC,10,BestState,3,6
5,GENETIC,10,WorstState,3,10
6,GENETIC,10,BestState,4,7
7,GENETIC,10,WorstState,4,10
8,GENETIC,10,BestState,5,6
9,GENETIC,10,WorstState,5,9
10,GENETIC,10,BestState,6,6
11,GENETIC,10,WorstState,6,10
12,GENETIC,10,BestState,7,7
13,GENETIC,10,WorstState,7,10
14,GENETIC,10,BestState,8,6
15,GENETIC,10,WorstState,8,10
16,GENETIC,10,BestState,9,6
17,GENETIC,10,WorstState,9,10
18,GENETIC,10,BestState,10,6
19,GENETIC,10,WorstState,10,10
20,GENETIC,10,BestState,11,6
21,GENETIC,10,WorstState,11,10
22,GENETIC,10,BestState,12,6
23,GENETIC,10,WorstState,12,10
24,GENETIC,10,BestState,13,6
25,GENETIC,10,WorstState,13,10
26,GENETIC,10,BestState,14,7
27,GENETIC,10,WorstState,14,10
28,GENETIC,10,BestState,15,6
29,GENETIC,10,WorstState,15,10
30,GENETIC,10,BestState,16,5
31,GENETIC,10,WorstState,16,10
32,GENETIC,10,BestState,17,5
33,GENETIC,10,WorstState,17,8
34,GENETIC,10,BestState,18,5
35,GENETIC,10,WorstState,18,10
36,GENETIC,10,BestState,19,5
37,GENETIC,10,WorstState,19,8
38,GENETIC,10,BestState,20,5
39,GENETIC,10,WorstState,20,10
40,GENETIC,10,BestState,21,6
41,GENETIC,10,WorstState,21,10
42,GENETIC,10,BestState,22,5
43,GENETIC,10,WorstState,22,10
44,GENETIC,10,BestState,23,4
45,GENETIC,10,WorstState,23,10
46,GENETIC,10,BestState,24,7
47,GENETIC,10,WorstState,24,10
48,GENETIC,10,BestState,25,4
49,GENETIC,10,WorstState,25,10
50,GENETIC,10,BestState,26,5
51,GENETIC,10,WorstState,26,10
52,GENETIC,10,BestState,27,5
53,GENETIC,10,WorstState,27,10
54,GENETIC,10,BestState,28,3
55,GENETIC,10,WorstState,28,9
56,GENETIC,10,BestState,29,3
57,GENETIC,10,WorstState,29,10
58,GENETIC,10,BestState,30,3
59,GENETIC,10,WorstState,30,9
60,GENETIC,10,BestState,31,3
61,GENETIC,10,WorstState,31,9
62,GENETIC,10,BestState,32,3
63,GENETIC,10,WorstState,32,10
64,GENETIC,10,BestState,33,3
65,GENETIC,10,WorstState,33,10
66,GENETIC,10,BestState,34,3
67,GENETIC,10,WorstState,34,10
68,GENETIC,10,BestState,35,3
69,GENETIC,10,WorstState,35,10
70,GENETIC,10,BestState,36,7
71,GENETIC,10,WorstState,36,10
72,GENETIC,10,BestState,37,7
73,GENETIC,10,WorstState,37,10
74,GENETIC,10,BestState,38,6
75,GENETIC,10,WorstState,38,10
76,GENETIC,10,BestState,39,5
77,GENETIC,10,WorstState,39,9
78,GENETIC,10,BestState,40,5
79,GENETIC,10,WorstState,40,9
80,GENETIC,10,BestState,41,5
81,GENETIC,10,WorstState,41,9
82,GENETIC,10,BestState,42,5
83,GENETIC,10,WorstState,42,10
84,GENETIC,10,BestState,43,5
85,GENETIC,10,WorstState,43,9
86,GENETIC,10,BestState,44,5
87,GENETIC,10,WorstState,44,9
88,GENETIC,10,BestState,45,5
89,GENETIC,10,WorstState,45,10
90,GENETIC,10,BestState,46,5
91,GENETIC,10,WorstState,46,9
92,GENETIC,10,BestState,47,6
93,GENETIC,10,WorstState,47,10
94,GENETIC,10,BestState,48,5
95,GENETIC,10,WorstState,48,10
96,GENETIC,10,BestState,49,5
97,GENETIC,10,WorstState,49,10
98,GENETIC,10,BestState,50,5
99,GENETIC,10,WorstState,50,10
100,GENETIC,10,BestState,51,5
101,GENETIC,10,WorstState,51,10
102,GENETIC,10,BestState,52,5
103,GENETIC,10,WorstState,52,10
104,GENETIC,10,BestState,53,5
105,GENETIC,10,WorstState,53,10
106,GENETIC,10,BestState,54,5
107,GENETIC,10,WorstState,54,9
108,GENETIC,10,BestState,55,5
109,GENETIC,10,WorstState,55,10
110,GENETIC,10,BestState,56,5
111,GENETIC,10,WorstState,56,10
112,GENETIC,10,BestState,57,5
113,GENETIC,10,WorstState,57,9
114,GENETIC,10,BestState,58,4
115,GENETIC,10,WorstState,58,9
116,GENETIC,10,BestState,59,4
117,GENETIC,10,WorstState,59,9
118,GENETIC,10,BestState,60,4
119,GENETIC,10,WorstState,60,9
120,GENETIC,10,BestState,61,4
121,GENETIC,10,WorstState,61,10
122,GENETIC,10,BestState,62,4
123,GENETIC,10,WorstState,62,10
124,GENETIC,10,BestState,63,4
125,GENETIC,10,WorstState,63,10
126,GENETIC,10,BestState,64,4
127,GENETIC,10,WorstState,64,10
128,GENETIC,10,BestState,65,4
129,GENETIC,10,WorstState,65,9
130,GENETIC,10,BestState,66,4
131,GENETIC,10,WorstState,66,10
132,GENETIC,10,BestState,67,4
133,GENETIC,10,WorstState,67,10
134,GENETIC,10,BestState,68,4
135,GENETIC,10,WorstState,68,10
136,GENETIC,10,BestState,69,4
137,GENETIC,10,WorstState,69,10
138,GENETIC,10,BestState,70,4
139,GENETIC,10,WorstState,70,10
140,GENETIC,10,BestState,71,5
141,GENETIC,10,WorstState,71,9
142,GENETIC,10,BestState,72,4
143,GENETIC,10,WorstState,72,10
144,GENETIC,10,BestState,73,5
145,GENETIC,10,WorstState,73,10
146,GENETIC,10,BestState,74,4
147,GENETIC,10,WorstState,74,9
148,GENETIC,10,BestState,75,5
149,GENETIC,10,WorstState,75,9
150,GENETIC,10,BestState,76,5
151,GENETIC,10,WorstState,76,9
152,GENETIC,10,BestState,77,5
153,GENETIC,10,WorstState,77,8
154,GENETIC,10,BestState,78,5
155,GENETIC,10,WorstState,78,10
156,GENETIC,10,BestState,79,5
157,GENETIC,10,WorstState,79,10
158,GENETIC,10,BestState,80,4
159,GENETIC,10,WorstState,80,9
160,GENETIC,10,BestState,81,4
161,GENETIC,10,WorstState,81,10
162,GENETIC,10,BestState,82,3
163,GENETIC,10,WorstState,82,10
164,GENETIC,10,BestState,83,3
165,GENETIC,10,WorstState,83,10
166,GENETIC,10,BestState,84,2
167,GENETIC,10,WorstState,84,10
168,GENETIC,10,BestState,85,2
169,GENETIC,10,WorstState,85,9
170,GENETIC,10,BestState,86,2
171,GENETIC,10,WorstState,86,10
172,GENETIC,10,BestState,87,2
173,GENETIC,10,WorstState,87,9
174,GENETIC,10,BestState,88,2
175,GENETIC,10,WorstState,88,9
176,GENETIC,10,BestState,89,2
177,GENETIC,10,WorstState,89,10
178,GENETIC,10,BestState,90,2
179,GENETIC,10,WorstState,90,8
180,GENETIC,10,BestState,91,2
181,GENETIC,10,WorstState,91,8
182,GENETIC,10,BestState,92,2
183,GENETIC,10,WorstState,92,9
184,GENETIC,10,BestState,93,2
185,GENETIC,10,WorstState,93,9
186,GENETIC,10,BestState,94,2
187,GENETIC,10,WorstState,94,10
188,GENETIC,10,BestState,95,2
189,GENETIC,10,WorstState,95,9
190,GENETIC,10,BestState,96,2
191,GENETIC,10,WorstState,96,8
192,GENETIC,10,BestState,97,2
193,GENETIC,10,WorstState,97,9
194,GENETIC,10,BestState,98,2
195,GENETIC,10,WorstState,98,9
196,GENETIC,10,BestState,99,2
197,GENETIC,10,WorstState,99,9
198,GENETIC,10,BestState,100,2
199,GENETIC,10,WorstState,100,9
200,GENETIC,10,BestState,101,7
201,GENETIC,10,WorstState,101,10
202,GENETIC,10,BestState,102,6
203,GENETIC,10,WorstState,102,10
204,GENETIC,10,BestState,103,6
205,GENETIC,10,WorstState,103,10
206,GENETIC,10,BestState,104,6
207,GENETIC,10,WorstState,104,9
208,GENETIC,10,BestState,105,5
209,GENETIC,10,WorstState,105,10
210,GENETIC,10,BestState,106,5
211,GENETIC,10,WorstState,106,10
212,GENETIC,10,BestState,107,5
213,GENETIC,10,WorstState,107,10
214,GENETIC,10,BestState,108,4
215,GENETIC,10,WorstState,108,10
