,Algorithm,Size,Threatened_Queens,Amount_of_explored_states,Time
0,BACKTRACKING,4,0,8,0.0009915828704833984
1,FOWARDCHECK,4,0,8,0.0
2,BACKTRACKING,4,0,8,0.0007891654968261719
3,FOWARDCHECK,4,0,8,0.0
4,BACKTRACKING,4,0,8,0.0
5,FOWARDCHECK,4,0,8,0.0009980201721191406
6,BACKTRACKING,4,0,8,0.0
7,FOWARDCHECK,4,0,8,0.0
8,BACKTRACKING,4,0,8,0.0
9,FOWARDCHECK,4,0,8,0.0
10,BACKTRACKING,4,0,8,0.0
11,FOWARDCHECK,4,0,8,0.0
12,BACKTRACKING,4,0,8,0.0009360313415527344
13,FOWARDCHECK,4,0,8,0.0
14,BACKTRACKING,4,0,8,0.0
15,FOWARDCHECK,4,0,8,0.0
16,BACKTRACKING,4,0,8,0.0
17,FOWARDCHECK,4,0,8,0.0010001659393310547
18,BACKTRACKING,8,0,113,0.0066568851470947266
19,FOWARDCHECK,8,0,88,0.005063056945800781
20,BACKTRACKING,4,0,8,0.0
21,FOWARDCHECK,4,0,8,0.0
22,BACKTRACKING,8,0,113,0.005012989044189453
23,FOWARDCHECK,8,0,88,0.004000186920166016
24,BACKTRACKING,4,0,8,0.0
25,FOWARDCHECK,4,0,8,0.0
26,BACKTRACKING,8,0,113,0.0050199031829833984
27,BACKTRACKING,12,0,261,0.034119367599487305
28,BACKTRACKING,10,0,102,0.006971120834350586
29,BACKTRACKING,4,0,8,0.0007917881011962891
30,FOWARDCHECK,4,0,8,0.0
31,FOWARDCHECK,12,0,193,0.015156030654907227
32,FOWARDCHECK,10,0,83,0.005000591278076172
33,FOWARDCHECK,8,0,88,0.004132270812988281
34,BACKTRACKING,4,0,8,0.0
35,FOWARDCHECK,4,0,8,0.0
36,BACKTRACKING,8,0,113,0.005269527435302734
37,FOWARDCHECK,8,0,88,0.004408121109008789
38,BACKTRACKING,10,0,102,0.006552934646606445
39,FOWARDCHECK,10,0,83,0.0039980411529541016
40,BACKTRACKING,15,0,1359,0.1432652473449707
41,FOWARDCHECK,15,0,1026,0.14877986907958984
42,BACKTRACKING,8,0,113,0.0050776004791259766
43,BACKTRACKING,4,0,8,0.0
44,FOWARDCHECK,4,0,8,0.0
45,BACKTRACKING,10,0,102,0.0068988800048828125
46,FOWARDCHECK,8,0,88,0.005101442337036133
47,BACKTRACKING,12,0,261,0.06399726867675781
48,FOWARDCHECK,12,0,193,0.024966001510620117
49,FOWARDCHECK,10,0,83,0.008609294891357422
50,BACKTRACKING,8,0,113,0.004881858825683594
51,BACKTRACKING,4,0,8,0.0009198188781738281
52,FOWARDCHECK,4,0,8,0.0
53,FOWARDCHECK,8,0,88,0.004082679748535156
54,BACKTRACKING,15,0,1359,0.13935017585754395
55,FOWARDCHECK,15,0,1026,0.1191554069519043
56,BACKTRACKING,4,0,8,0.0010449886322021484
57,FOWARDCHECK,4,0,8,0.0
58,BACKTRACKING,10,0,102,0.005994081497192383
59,FOWARDCHECK,10,0,83,0.005600452423095703
60,BACKTRACKING,4,0,8,0.0008721351623535156
61,FOWARDCHECK,4,0,8,0.0
62,BACKTRACKING,8,0,113,0.10065984725952148
63,FOWARDCHECK,8,0,88,0.0039463043212890625
64,BACKTRACKING,4,0,8,0.0
65,FOWARDCHECK,4,0,8,0.0009987354278564453
66,BACKTRACKING,12,0,261,0.10350680351257324
67,FOWARDCHECK,12,0,193,0.01263737678527832
68,BACKTRACKING,10,0,102,0.006015777587890625
69,FOWARDCHECK,10,0,83,0.09836769104003906
70,BACKTRACKING,8,0,113,0.021621227264404297
71,FOWARDCHECK,8,0,88,0.004545688629150391
72,BACKTRACKING,4,0,8,0.0
73,FOWARDCHECK,4,0,8,0.0
74,BACKTRACKING,10,0,102,0.006008625030517578
75,FOWARDCHECK,10,0,83,0.005998849868774414
76,BACKTRACKING,8,0,113,0.005251407623291016
77,BACKTRACKING,15,0,1359,0.15087008476257324
78,FOWARDCHECK,15,0,1026,0.15335750579833984
79,BACKTRACKING,12,0,261,0.020896434783935547
80,FOWARDCHECK,12,0,193,0.027699708938598633
81,FOWARDCHECK,8,0,88,0.004000186920166016
82,BACKTRACKING,4,0,8,0.00036072731018066406
83,BACKTRACKING,10,0,102,0.0057604312896728516
84,FOWARDCHECK,10,0,83,0.0050737857818603516
85,BACKTRACKING,12,0,261,0.03637504577636719
86,FOWARDCHECK,12,0,193,0.030081987380981445
87,BACKTRACKING,8,0,113,0.007021427154541016
88,FOWARDCHECK,8,0,88,0.00503849983215332
89,FOWARDCHECK,4,0,8,0.0
90,BACKTRACKING,12,0,261,0.03531837463378906
91,FOWARDCHECK,12,0,193,0.03157210350036621
92,BACKTRACKING,8,0,113,0.005842447280883789
93,FOWARDCHECK,8,0,88,0.003849506378173828
94,BACKTRACKING,15,0,1359,0.23344731330871582
95,FOWARDCHECK,15,0,1026,0.11399531364440918
96,BACKTRACKING,4,0,8,0.0011818408966064453
97,BACKTRACKING,8,0,113,0.00507354736328125
98,FOWARDCHECK,8,0,88,0.003999948501586914
99,BACKTRACKING,12,0,261,0.03502225875854492
100,FOWARDCHECK,12,0,193,0.017360687255859375
101,BACKTRACKING,10,0,102,0.006148099899291992
102,FOWARDCHECK,10,0,83,0.004682064056396484
103,FOWARDCHECK,4,0,8,0.0003151893615722656
104,BACKTRACKING,12,0,261,0.03667140007019043
105,FOWARDCHECK,12,0,193,0.03009176254272461
106,BACKTRACKING,10,0,102,0.022440195083618164
107,FOWARDCHECK,10,0,83,0.004075288772583008
108,BACKTRACKING,8,0,113,0.004712343215942383
109,FOWARDCHECK,8,0,88,0.003941535949707031
110,BACKTRACKING,4,0,8,0.0011148452758789062
111,BACKTRACKING,12,0,261,0.03454256057739258
112,FOWARDCHECK,12,0,193,0.029994726181030273
113,BACKTRACKING,8,0,113,0.007869243621826172
114,FOWARDCHECK,4,0,8,0.0004515647888183594
115,BACKTRACKING,15,0,1359,0.18247151374816895
116,FOWARDCHECK,15,0,1026,0.17801547050476074
117,FOWARDCHECK,8,0,88,0.03702545166015625
118,BACKTRACKING,4,0,8,0.0010552406311035156
119,FOWARDCHECK,4,0,8,0.0
120,BACKTRACKING,10,0,102,0.03804326057434082
121,FOWARDCHECK,10,0,83,0.008899927139282227
122,BACKTRACKING,12,0,261,0.02083134651184082
123,FOWARDCHECK,12,0,193,0.019016742706298828
124,BACKTRACKING,8,0,113,0.005466461181640625
125,FOWARDCHECK,8,0,88,0.0041599273681640625
126,BACKTRACKING,10,0,102,0.006474494934082031
127,FOWARDCHECK,10,0,83,0.03787946701049805
128,BACKTRACKING,4,0,8,0.0
129,BACKTRACKING,8,0,113,0.004782438278198242
130,FOWARDCHECK,8,0,88,0.004066944122314453
131,BACKTRACKING,10,0,102,0.006073474884033203
132,FOWARDCHECK,10,0,83,0.005633831024169922
