"id","especie","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","inclinacion_peligrosa","cric_tronco_cm_cat","cric_diamtero_cm","esbeltez","rareza_de_altura"
0,"Jacarand","Medio (4 - 8 mts)",60,"Mediano",-68.8404148439,-32.8747311819,"1",0,"bajo",188.4,565.2,"muy común"
3,"Fresno europeo","Bajo (2 - 4 mts)",52,"Mediano",-68.8574212649,-32.8959944483,"5",0,"bajo",163.28,326.56,"raro"
5,"Morera","Medio (4 - 8 mts)",70,"Grande",-68.8574080472,-32.8958575989,"5",0,"bajo",219.8,659.4,"normal"
7,"Morera","Medio (4 - 8 mts)",110,"Grande",-68.8572981214,-32.8958308493,"5",0,"medio",345.4,1036.2,"normal"
8,"Morera","Medio (4 - 8 mts)",54,"Mediano",-68.8572185354,-32.895838834,"5",0,"bajo",169.56,508.68,"normal"
10,"Morera","Medio (4 - 8 mts)",100,"Grande",-68.8570828523,-32.8958536317,"5",0,"bajo",314,942,"normal"
11,"Morera","Medio (4 - 8 mts)",110,"Grande",-68.8570150632,-32.8958572818,"5",0,"medio",345.4,1036.2,"normal"
12,"Morera","Medio (4 - 8 mts)",100,"Grande",-68.8569486959,-32.8958654194,"5",0,"bajo",314,942,"normal"
15,"Morera","Bajo (2 - 4 mts)",56,"Mediano",-68.8567599137,-32.8958801479,"5",1,"bajo",175.84,351.68,"raro"
18,"Morera","Medio (4 - 8 mts)",140,"Grande",-68.8565970585,-32.8958954911,"5",0,"medio",439.6,1318.8,"normal"
19,"Fresno americano","Bajo (2 - 4 mts)",34,"Mediano",-68.8565423331,-32.8958979197,"5",0,"bajo",106.76,213.52,"raro"
20,"Fresno europeo","Bajo (2 - 4 mts)",36,"Mediano",-68.8564561132,-32.8959077601,"5",0,"bajo",113.04,226.08,"raro"
21,"Fresno europeo","Bajo (2 - 4 mts)",40,"Mediano",-68.8563617906,-32.8959157273,"5",0,"bajo",125.6,251.2,"raro"
