"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"19231",29263,"Morera","23/02/2011 16:03","Alto (> 8 mts)",150,"Grande",-68.8447790873,-32.8884412386,2,"Barrio Civico",2366816.36021,1,"medio"
"5838",8956,"Ligustro","20/01/2011 14:09","Bajo (2 - 4 mts)",30,"Mediano",-68.8478471601,-32.8675012273,6,"Residencial Norte",2694682.37982,0,"bajo"
"3760",5786,"Fresno americano","04/05/2011 10:57","Medio (4 - 8 mts)",25,"Mediano",-68.8415281999,-32.8784430054,1,"Parque Central",1655357.93265,1,"bajo"
"23317",35340,"Morera","22/06/2011 15:34","Medio (4 - 8 mts)",80,"Grande",-68.8544015213,-32.8836206678,5,"Residencial Sur",2423808.92355,1,"bajo"
"454",696,"Paraiso","09/08/2011 10:07","Alto (> 8 mts)",107,"Grande",-68.8340299649,-32.8649668542,4,"Cuarta Oeste",1173332.70145,1,"medio"
"13542",20731,"Morera","31/05/2011 10:22","Medio (4 - 8 mts)",65,"Grande",-68.8632806495,-32.89744891,5,"Residencial Sur",2423808.92355,0,"bajo"
"21291",32314,"Pltano","27/06/2011 09:08","Alto (> 8 mts)",190,"Grande",-68.8515762042,-32.8917158007,5,"Residencial Sur",2423808.92355,0,"medio"
"804",1240,"Fresno americano","29/11/2011 13:14","Bajo (2 - 4 mts)",60,"Mediano",-68.876365654,-32.8653545418,8,"Aeroparque",2203364.73622,0,"bajo"
"1044",1586,"Acacia SP","30/11/2011 10:36","Bajo (2 - 4 mts)",50,"Mediano",-68.8725042227,-32.8757610897,7,"Residencial Parque",1786336.08966,0,"bajo"
"28849",43719,"Morera","11/10/2011 09:04","Muy bajo (1 - 2 mts)",6,"Chico",-68.8324371577,-32.8832410335,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"2437",3693,"Paraiso","24/08/2011 11:32","Medio (4 - 8 mts)",44,"Mediano",-68.8187172981,-32.868822592,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
"3920",6035,"Morera","18/04/2011 10:40","Alto (> 8 mts)",52,"Mediano",-68.8475968473,-32.8859039805,1,"Parque Central",1655357.93265,0,"bajo"
"15417",23455,"Morera","24/01/2011 20:05","Alto (> 8 mts)",196,"Grande",-68.8487958285,-32.9018438433,2,"Barrio Civico",2366816.36021,0,"medio"
"10833",16712,"Morera","22/07/2011 08:57","Alto (> 8 mts)",160,"Grande",-68.8403046087,-32.8632402451,4,"Cuarta Oeste",1173332.70145,0,"medio"
"18170",27689,"Morera","28/10/2011 10:52","Alto (> 8 mts)",115,"Grande",-68.8375162189,-32.8948165495,2,"Barrio Civico",2366816.36021,1,"medio"
"11709",18037,"Morera","01/08/2011 09:52","Alto (> 8 mts)",130,"Grande",-68.8403001942,-32.8681993634,4,"Cuarta Oeste",1173332.70145,0,"medio"
"25338",38321,"Paraiso","09/11/2010 10:51","Alto (> 8 mts)",48,"Mediano",-68.8531268485,-32.8698409358,6,"Residencial Norte",2694682.37982,0,"bajo"
"4658",7137,"Paraiso","15/06/2011 09:36","Muy bajo (1 - 2 mts)",12,"Chico",-68.8531440893,-32.8982721299,5,"Residencial Sur",2423808.92355,0,"bajo"
"26111",39470,"Paraiso","11/11/2010 13:57","Alto (> 8 mts)",280,"Grande",-68.8555013981,-32.8692193858,6,"Residencial Norte",2694682.37982,0,"alto"
"20216",30706,"Acer","04/02/2011 11:01","Bajo (2 - 4 mts)",30,"Mediano",-68.8556891934,-32.867312003,6,"Residencial Norte",2694682.37982,0,"bajo"
"30223",45853,"Morera","26/08/2011 08:05","Medio (4 - 8 mts)",96,"Grande",-68.8215358134,-32.8690944387,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
"15244",23197,"Paraiso","18/01/2011 12:34","Medio (4 - 8 mts)",130,"Grande",-68.8485844343,-32.9011362117,2,"Barrio Civico",2366816.36021,0,"medio"
"14183",21662,"Fresno europeo","08/06/2011 09:17","Bajo (2 - 4 mts)",22,"Mediano",-68.8553379275,-32.8960768874,5,"Residencial Sur",2423808.92355,0,"bajo"
"249",397,"Morera","05/03/2012 11:23","Alto (> 8 mts)",185,"Grande",-68.8200138353,-32.8673945456,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
"30145",45740,"Morera","24/08/2011 11:13","Alto (> 8 mts)",190,"Grande",-68.8226243047,-32.8687017661,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
"3146",4823,"Morera","19/07/2011 10:54","Bajo (2 - 4 mts)",30,"Mediano",-68.8413398079,-32.8648170654,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"27611",41788,"Morera","27/04/2011 09:53","Alto (> 8 mts)",160,"Grande",-68.8424077829,-32.8785678966,1,"Parque Central",1655357.93265,1,"medio"
"16775",25555,"Fresno europeo","08/02/2011 16:20","Bajo (2 - 4 mts)",44,"Mediano",-68.8390269914,-32.9007481705,2,"Barrio Civico",2366816.36021,1,"bajo"
"13348",20463,"Fresno americano","17/05/2011 09:25","Alto (> 8 mts)",78,"Grande",-68.8604098984,-32.8928911164,5,"Residencial Sur",2423808.92355,1,"bajo"
"15545",23657,"Prunas","20/01/2011 19:40","Bajo (2 - 4 mts)",26,"Mediano",-68.8484614033,-32.900323189,2,"Barrio Civico",2366816.36021,0,"bajo"
"23683",35890,"Morera","28/03/2011 10:00","Medio (4 - 8 mts)",63,"Grande",-68.8534396288,-32.8763411422,6,"Residencial Norte",2694682.37982,0,"bajo"
"10955",16899,"Paraiso","27/07/2011 13:46","Alto (> 8 mts)",175,"Grande",-68.8387190052,-32.865436579,4,"Cuarta Oeste",1173332.70145,0,"medio"
"28815",43664,"Pltano","13/10/2011 17:51","Alto (> 8 mts)",190,"Grande",-68.8351509238,-32.8812546045,1,"Parque Central",1655357.93265,0,"medio"
"16541",25182,"Morera","09/02/2011 17:19","Alto (> 8 mts)",132,"Grande",-68.8362708219,-32.8980999051,2,"Barrio Civico",2366816.36021,1,"medio"
"27575",41713,"Morera","28/04/2011 09:13","Bajo (2 - 4 mts)",54,"Mediano",-68.8382961324,-32.878409451,1,"Parque Central",1655357.93265,0,"bajo"
"22719",34431,"Morera","09/03/2011 13:21","Alto (> 8 mts)",180,"Grande",-68.8507983463,-32.8737922674,6,"Residencial Norte",2694682.37982,0,"medio"
"17372",26464,"Acacia SP","09/11/2011 10:00","Medio (4 - 8 mts)",70,"Grande",-68.8326861504,-32.8913171884,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"7701",11751,"Morera","02/06/2010 11:25","Medio (4 - 8 mts)",156,"Grande",-68.8502881589,-32.8670506171,6,"Residencial Norte",2694682.37982,0,"medio"
"16143",24561,"Morera","28/01/2011 13:58","Muy bajo (1 - 2 mts)",20,"Chico",-68.8436053591,-32.9021015068,2,"Barrio Civico",2366816.36021,0,"bajo"
"18144",27647,"Morera","01/11/2011 10:31","Alto (> 8 mts)",95,"Grande",-68.8363308744,-32.8941725274,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"14238",21744,"Morera","24/05/2011 09:19","Alto (> 8 mts)",140,"Grande",-68.8567482329,-32.8942704366,5,"Residencial Sur",2423808.92355,0,"medio"
"14650",22359,"Morera","16/06/2011 10:23","Alto (> 8 mts)",140,"Grande",-68.8595044937,-32.8993059597,5,"Residencial Sur",2423808.92355,0,"medio"
"7874",12004,"Paraiso","12/05/2010 10:52","Alto (> 8 mts)",126,"Grande",-68.8523978543,-32.8686213247,6,"Residencial Norte",2694682.37982,0,"medio"
"16798",25588,"Morera","08/02/2011 17:52","Alto (> 8 mts)",108,"Grande",-68.8392533531,-32.901622026,2,"Barrio Civico",2366816.36021,0,"medio"
"30855",46796,"Fresno americano","07/09/2011 10:55","Medio (4 - 8 mts)",95,"Grande",-68.8322449688,-32.8718624007,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
"29106",44134,"Fresno europeo","04/10/2011 10:13","Muy bajo (1 - 2 mts)",18,"Chico",-68.8353256397,-32.8787267432,1,"Parque Central",1655357.93265,0,"bajo"
"6350",9682,"Ailanthus","20/01/2011 13:38","Alto (> 8 mts)",140,"Grande",-68.8470798976,-32.864289087,4,"Cuarta Oeste",1173332.70145,0,"medio"
"412",630,"Fresno europeo","08/03/2012 11:20","Medio (4 - 8 mts)",44,"Mediano",-68.8184566441,-32.8686992932,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
"15612",23743,"Morera","25/01/2011 11:31","Alto (> 8 mts)",85,"Grande",-68.8493213029,-32.901018535,2,"Barrio Civico",2366816.36021,0,"bajo"
"12756",19578,"Morera","14/07/2011 10:18","Alto (> 8 mts)",176,"Grande",-68.8375472202,-32.872458205,4,"Cuarta Oeste",1173332.70145,0,"medio"
"4344",6668,"Fresno europeo","16/05/2011 10:27","Alto (> 8 mts)",116,"Grande",-68.8617931243,-32.8911073856,5,"Residencial Sur",2423808.92355,0,"medio"
"16196",24636,"Pltano","17/01/2011 12:10","Alto (> 8 mts)",260,"Grande",-68.8419040891,-32.899848806,2,"Barrio Civico",2366816.36021,0,"alto"
"14490",22130,"Ailanthus","13/06/2011 10:45","Alto (> 8 mts)",300,"Grande",-68.8551031708,-32.8982070402,5,"Residencial Sur",2423808.92355,0,"alto"
"14055",21468,"Pltano","12/05/2011 09:29","Alto (> 8 mts)",200,"Grande",-68.8582800217,-32.8917762454,5,"Residencial Sur",2423808.92355,0,"medio"
"1512",2300,"Morera","04/11/2011 10:26","Medio (4 - 8 mts)",55,"Mediano",-68.8384297251,-32.8939123229,2,"Barrio Civico",2366816.36021,0,"bajo"
